Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00112137, 0.000648615, 0.000472187, 6.7617e-05, 2676, 4539, 2829
0.00110648, 0.000619011, 0.000486684, 4.7618e-05, 2690, 4502, 2583
0.00100331, 0.000576787, 0.000425875, 6.2959e-05, 2548, 4189, 3444
0.000916939, 0.000495619, 0.000420228, 6.3289e-05, 2174, 3484, 3690
0.00115153, 0.000623183, 0.000527627, 5.7299e-05, 2690, 4440, 3075
0.00112871, 0.000652999, 0.000474734, 5.5408e-05, 2412, 3803, 2706
0.0010666, 0.000577558, 0.00048824, 4.5715e-05, 2439, 3820, 2337
0.00128815, 0.000740815, 0.000546601, 7.5392e-05, 2420, 3869, 2952
0.00100913, 0.000589993, 0.000418506, 5.1593e-05, 2482, 3898, 2829
0.00113164, 0.000606142, 0.000524824, 7.5924e-05, 2537, 3942, 3813
0.00119826, 0.000609527, 0.000587991, 5.7031e-05, 2555, 4274, 2583
0.00112863, 0.000585257, 0.000542566, 5.2922e-05, 2487, 4297, 2829
0.000784758, 0.000317342, 0.000466936, 5.5136e-05, 2554, 4213, 3075
0.000780003, 0.000303285, 0.000476248, 8.6935e-05, 2488, 3996, 4920
0.000750926, 0.000306017, 0.000444508, 4.8772e-05, 2431, 4022, 2706
0.000786951, 0.000305147, 0.000480974, 5.2248e-05, 2395, 4023, 2829
0.000799247, 0.000305547, 0.000493188, 5.939e-05, 2420, 3917, 3321
0.00077843, 0.000305527, 0.000472193, 4.8249e-05, 2408, 3922, 2706
0.000734886, 0.000310333, 0.000423953, 4.5155e-05, 2426, 4117, 2583
0.000740084, 0.00030727, 0.000432253, 3.9771e-05, 2418, 4214, 2091
0.000765425, 0.00032422, 0.000440733, 5.7512e-05, 2438, 4252, 3321
0.000873538, 0.000382072, 0.000490896, 5.2846e-05, 2676, 4413, 3075
0.000829211, 0.00033488, 0.00049383, 5.3737e-05, 2684, 4533, 3075
0.000876891, 0.000346946, 0.000529195, 5.8772e-05, 2716, 4682, 3198
0.000916872, 0.000409865, 0.000506326, 4.5787e-05, 2716, 4682, 2583
0.000821782, 0.000354435, 0.000466956, 4.3917e-05, 2694, 4507, 2214
0.000869022, 0.000341659, 0.000526682, 6.2458e-05, 2605, 4577, 3813
0.000754708, 0.000304362, 0.000449805, 3.6514e-05, 2471, 3993, 1968
0.000856606, 0.000323887, 0.000531938, 8.3524e-05, 2486, 4194, 4428
0.000794908, 0.000311091, 0.000483377, 5.4246e-05, 2369, 4239, 2829
